,index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
0,272371,415,7,01/03/2015,0,0,0,0,0,137.39014
1,558468,27,7,29/12/2013,0,0,0,0,0,-30.162872
2,76950,404,3,19/03/2014,657,1,1,0,0,6449.99
3,77556,683,2,29/01/2013,862,1,0,0,0,6513.339
4,456344,920,3,19/03/2014,591,1,1,0,0,5880.503
5,436466,758,4,26/06/2014,569,1,0,0,0,4986.827
6,646251,563,1,16/02/2015,321,1,1,0,0,3729.1746
7,650464,930,6,22/11/2014,1367,1,0,0,0,7445.1465
8,162710,756,4,04/06/2015,0,0,1,a,0,22.81198
9,100327,49,2,13/01/2015,546,1,1,0,0,7576.322
10,374540,787,4,23/07/2015,968,1,0,0,1,8483.169
11,399143,782,4,19/09/2013,472,1,0,0,0,3923.9446
12,44740,897,7,20/04/2014,0,0,0,0,0,-41.062836
13,674144,933,1,09/12/2013,965,1,0,0,0,7746.4463
14,81595,218,2,07/04/2015,804,1,0,0,1,6058.5767
15,416724,554,3,09/10/2013,499,1,1,0,1,5001.687
16,632687,362,1,12/08/2013,1337,1,1,0,1,12904.951
17,351899,655,3,09/04/2014,560,1,0,0,0,5051.0923
18,515940,785,3,31/12/2014,461,1,0,0,1,3985.7883
19,567411,690,3,19/03/2014,866,1,1,0,0,7602.258
20,274598,1103,7,15/02/2015,0,0,0,0,0,118.13639
21,417880,431,1,02/06/2014,1367,1,1,0,0,13232.036
22,453710,127,2,24/09/2013,642,1,1,0,0,6568.781
23,597622,579,5,29/03/2013,0,0,1,b,1,-22.192059
24,223346,248,6,03/08/2013,1139,1,0,0,0,8459.381
25,630018,962,6,11/01/2014,0,0,0,0,0,-238.35515
26,355860,224,2,26/03/2013,515,1,1,0,1,6265.43
27,360080,208,3,19/06/2013,355,1,1,0,1,3109.1602
28,129544,401,1,30/03/2015,1063,1,1,0,0,12990.578
29,422545,503,7,29/09/2013,0,0,0,0,0,70.61893
30,174199,221,4,05/03/2015,562,1,1,0,0,5513.1323
31,118613,268,7,02/11/2014,0,0,0,0,0,-176.3568
32,60310,799,2,27/08/2013,927,1,1,0,1,9396.903
33,328458,260,6,25/10/2014,894,1,0,0,0,7805.7
34,200661,1041,2,10/03/2015,594,1,0,0,0,4734.2188
35,179581,350,2,18/06/2013,533,1,1,0,0,6410.2227
36,587612,286,7,05/04/2015,0,0,0,0,0,209.99466
37,320169,620,2,04/06/2013,709,1,1,0,0,6979.651
38,37194,521,1,17/06/2013,484,1,1,0,0,5768.246
39,685427,649,4,27/11/2014,435,1,1,0,0,4482.017
40,125422,1059,2,02/06/2015,1239,1,1,0,0,11058.127
41,24499,486,6,28/06/2014,373,1,0,0,0,3542.9736
42,281806,252,4,17/10/2013,642,1,0,0,0,6031.4316
43,540511,656,3,15/05/2013,421,1,1,0,0,4161.7754
44,28689,642,5,12/09/2014,394,1,0,0,0,3525.0178
45,165066,655,5,08/05/2015,761,1,1,0,0,7601.5356
46,555963,992,3,26/06/2013,627,1,0,0,0,5172.287
47,610614,143,2,02/06/2015,731,1,1,0,0,8021.5264
48,64013,421,5,18/07/2014,941,1,1,0,1,7842.4185
49,30639,246,4,02/10/2014,1157,1,1,0,0,9465.08
50,418604,960,1,28/04/2014,720,1,1,0,0,7991.4146
51,468037,313,5,17/01/2014,697,1,0,0,0,6045.928
52,271589,291,6,29/06/2013,534,1,0,0,0,5250.8564
53,77924,924,6,31/05/2014,333,1,0,0,0,3430.5093
54,247149,337,2,13/08/2013,430,1,1,0,1,5305.6904
55,576822,1024,4,12/03/2015,607,1,0,0,0,4834.6714
56,108538,56,3,22/01/2014,402,1,1,0,0,5180.4688
57,645670,507,3,09/04/2014,532,1,0,0,0,5353.0986
58,601663,970,5,15/03/2013,406,1,0,0,0,3227.7737
59,502588,846,2,23/06/2015,828,1,0,0,0,6696.233
60,66732,549,3,27/08/2014,582,1,0,0,0,4697.695
61,627113,1095,4,28/03/2013,852,1,1,0,1,8418.7295
62,691184,859,5,12/04/2013,709,1,1,0,0,6209.9307
63,467913,914,2,29/07/2014,1178,1,1,0,1,10522.222
64,304890,888,2,23/06/2015,634,1,0,0,0,5791.859
65,274018,442,2,04/11/2014,517,1,1,0,0,5664.169
66,644430,34,6,09/03/2013,905,1,0,0,0,8264.748
67,669009,199,4,10/07/2014,581,1,0,0,0,5661.4414
68,518722,854,4,04/06/2015,657,1,1,a,0,6430.425
69,505976,611,2,21/01/2014,485,1,1,0,0,6437.9507
70,291572,808,4,09/04/2015,528,1,0,0,1,5809.2705
71,39071,1105,4,22/01/2015,410,1,0,0,0,4260.408
72,319154,866,5,24/04/2015,445,1,0,0,0,4655.589
73,166603,222,6,28/09/2013,367,1,0,0,0,3104.684
74,428262,476,2,24/09/2013,753,1,1,0,0,7177.182
75,20314,800,1,26/05/2014,494,1,0,0,0,4757.7017
76,603091,330,1,24/03/2014,408,1,0,0,0,3665.269
77,500421,507,3,07/01/2015,648,1,1,0,0,7615.131
